brand_name,brand_site_url,brand_image_url,model_name,model_brand_url,model_image_url
ACURA,https://www.autoevolution.com/acura/,https://s1.cdn.autoevolution.com/images/producers/acura-sm.jpg,ACURA SLX,https://www.autoevolution.com/acura/slx/,https://s1.cdn.autoevolution.com/images/models/thumb/ACURA_SLX-1997_main.jpg_tmb.jpg
ACURA,https://www.autoevolution.com/acura/,https://s1.cdn.autoevolution.com/images/producers/acura-sm.jpg,ACURA TL,https://www.autoevolution.com/acura/tl/,https://s1.cdn.autoevolution.com/images/models/thumb/ACURA_TL-2008_main.jpg_tmb.jpg
ACURA,https://www.autoevolution.com/acura/,https://s1.cdn.autoevolution.com/images/producers/acura-sm.jpg,ACURA TSX,https://www.autoevolution.com/acura/tsx/,https://s1.cdn.autoevolution.com/images/models/thumb/ACURA_Sport-Wagon-2010_main.jpg_tmb.jpg
ALFA ROMEO,https://www.autoevolution.com/alfa-romeo/,https://s1.cdn.autoevolution.com/images/producers/alfa-romeo-sm.jpg,,,
ALPINE,https://www.autoevolution.com/alpine/,https://s1.cdn.autoevolution.com/images/producers/alpine-sm.jpg,,,
ARIEL,https://www.autoevolution.com/ariel/,https://s1.cdn.autoevolution.com/images/producers/ariel-sm.jpg,,,
ARO,https://www.autoevolution.com/aro/,https://s1.cdn.autoevolution.com/images/producers/aro-sm.jpg,,,
ARTEGA,https://www.autoevolution.com/artega/,https://s1.cdn.autoevolution.com/images/producers/artega-sm.jpg,,,
ASTON MARTIN,https://www.autoevolution.com/aston-martin/,https://s1.cdn.autoevolution.com/images/producers/aston-martin-sm.jpg,,,
AUDI,https://www.autoevolution.com/audi/,https://s1.cdn.autoevolution.com/images/producers/audi-sm.jpg,,,
AURUS,https://www.autoevolution.com/aurus/,https://s1.cdn.autoevolution.com/images/producers/aurus-sm.jpg,,,
BAIC MOTOR,https://www.autoevolution.com/baic-motor/,https://s1.cdn.autoevolution.com/images/producers/baic-motor-sm.jpg,,,
BENTLEY,https://www.autoevolution.com/bentley/,https://s1.cdn.autoevolution.com/images/producers/bentley-sm.jpg,,,
BMW,https://www.autoevolution.com/bmw/,https://s1.cdn.autoevolution.com/images/producers/bmw-sm.jpg,,,
BORGWARD,https://www.autoevolution.com/borgward/,https://s1.cdn.autoevolution.com/images/producers/borgward-sm.jpg,,,
BRISTOL,https://www.autoevolution.com/bristol/,https://s1.cdn.autoevolution.com/images/producers/bristol-sm.jpg,,,
BUFORI,https://www.autoevolution.com/bufori/,https://s1.cdn.autoevolution.com/images/producers/bufori-sm.jpg,,,
BUGATTI,https://www.autoevolution.com/bugatti/,https://s1.cdn.autoevolution.com/images/producers/bugatti-sm.jpg,,,
